TRADE LOOPS (534 total trades):

239-LEMIN from Amnese             receives 349-TRIUM from aaronseeber
707-FOOTY from grosse_au                      does not trade
708-TENAM from grosse_au          receives 558-FMINI from gmcnish            and sends to 857-RAIDR from Phil81
709-DIGGA from pusboyau                       does not trade
710-ADUCT from Scholle            receives $30.0 from cyberkev63             and sends to 437-MEMOR from anomander64
711-MACHI from petegs                         does not trade
712-WARGM from shawn_low                      does not trade
713-ALADD from shawn_low                      does not trade
714-ANTIQ from shawn_low                      does not trade
715-BOATS from shawn_low                      does not trade
716-ANTLA from shawn_low                      does not trade
717-ARKEM from shawn_low                      does not trade
718-WONDA from shawn_low                      does not trade
719-DROOL from shawn_low                      does not trade
720-AUSIE from shawn_low                      does not trade
721-BLORE from shawn_low                      does not trade
722-WSTOS from shawn_low                      does not trade
723-LIONS from shawn_low                      does not trade
724-REALM from shawn_low                      does not trade
725-STATI from shawn_low                      does not trade
726-TRIGN from shawn_low                      does not trade
727-DYNIT from shawn_low                      does not trade
728-SHULK from shawn_low                      does not trade
729-SWTQG from shawn_low                      does not trade
732-HMEXP from Mariana            receives 084-TURRI from Unhalfbricking     and sends to 392-DRAKE from PBrennan
733-SABER from Mariana                        does not trade
734-PERGA from Scholle                        does not trade
735-LARGE from snog               receives 195-CRURX from prd1982            and sends to 830-TANNH from ausminstrel
736-RENAI from snog               receives 693-BONAP from Oiler              and sends to 247-SOUND from petegs
737-AGRIC from fFish                          does not trade
738-FACMN from fFish              receives 692-TTREU from pusboyau           and sends to 297-SIDSX from Mikey
739-HOBIT from fFish                          does not trade
740-RUNEA from fFish              receives 261-THUND from earlyworm          and sends to 377-CATAN from PBrennan
741-TOBAG from fFish              receives 272-TOPPO from Neil Thomson       and sends to 479-MONDO from Ykikamucow
742-PLUND from fFish                          does not trade
743-NEURO from fFish                          does not trade
744-DOOMG from fFish              receives 831-TROYE from ausminstrel        and sends to 376-SHANG from PBrennan
745-DITDK from fFish              receives 186-STONE from Friendless         and sends to 166-MACAO from snog
746-DOMIN from fFish              receives 179-EGIZA from wilderness         and sends to $25.0 from cyberkev63
747-TTPAG from fFish                          does not trade
748-ARCAN from Hida Mann          receives 1020-ASHIP from nnf1              and sends to 399-DYNAS from PBrennan
749-LOTRS from fFish              receives 529-DSERT from tiggers            and sends to 132-NOSPN from thepackrat
750-MEXIC from fFish              receives 637-BGOLD from MrBaggy            and sends to 541-CANAL from sysyphus
751-MUNCH from fFish                          does not trade
752-CITAD from fFish              receives 137-MYKER from smittenkitten      and sends to 884-CELTI from Phil81
753-MOWWW from fFish                          does not trade
754-SLEUT from fFish              receives 882-PARAD from Phil81             and sends to 051-TOUCH from Hida Mann
755-INTRU from Hida Mann          receives 129-MIDKG from thepackrat         and sends to 670-BTGAL from srand
756-ARCAN from fFish              receives 360-CARCT from kathyb             and sends to 920-FAMIL from jcbgg
757-TBGGG from Tezza              receives 159-SHEAR from dlow               and sends to 959-WARGM from psmaylott
758-VEGAS from Tezza              receives 653-AWFUL from rktboy             and sends to 435-TOKYO from ateh
759-NIAGR from Tezza              receives 499-HAREA from Friendless         and sends to 666-RUNEB from rktboy
760-WAGER from Tezza              receives 543-ABBEY from Ykikamucow         and sends to 852-CREAT from TumbleSteak
761-TOCTC from Tezza              receives 058-DINOS from Hida Mann          and sends to 529-DSERT from tiggers
762-HANSA from Scholle                        does not trade
763-ILLUM from TorbenVang                     does not trade
765-SHATR from TorbenVang                     does not trade
766-REDIN from TorbenVang                     does not trade
767-ALHAM from batcut             receives 479-MONDO from Ykikamucow         and sends to 831-TROYE from ausminstrel
769-BHYMN from batcut                         does not trade
770-DOMIN from batcut             receives $40.0 from Dr Corey               and sends to 369-TTREU from Amiguero
771-ENDEA from batcut             receives 553-SATOR from gmcnish            and sends to $50.0 from Peptis
772-STONE from batcut                         does not trade
774-ILPRN from hxbx                           does not trade
775-MEGAC from hxbx                           does not trade
776-SETTL from hxbx                           does not trade
777-MACRA from hxbx               receives 648-HUMAN from zerogeek           and sends to 296-WILDL from Mikey
778-AAGUA from hxbx               receives 174-WASHI from wilderness         and sends to 673-OASIS from srand
779-HONOR from hxbx                           does not trade
780-WOWFA from hxbx                           does not trade
782-MAZEL from Damhsa_Roisin                  does not trade
783-TEAST from Karlsen            receives 378-FALSH from PBrennan           and sends to 227-MYTHO from da pyrate
784-UFSSF from Karlsen                        does not trade
785-STACK from Karlsen            receives 857-RAIDR from Phil81             and sends to 864-COURT from Neil Thomson
786-CHEEZ from Karlsen                        does not trade
787-CANAL from Karlsen                        does not trade
789-SNAKE from Karlsen                        does not trade
790-TOUCH from Karlsen            receives 390-SCHWA from PBrennan           and sends to 987-RFTGY from wilderness
793-MONKY from Karlsen                        does not trade
795-AUGSB from Karlsen            receives 978-ODINS from cyberkev63         and sends to 688-MANOW from srand
796-WHCCG from Karlsen            receives 352-YSONE from aaronseeber        and sends to 372-LOTRC from petegs
797-BOLTR from Karlsen                        does not trade
798-VADIS from Karlsen                        does not trade
799-PILEX from Karlsen            receives 088-HELLA from Dr Corey           and sends to 045-ROLLT from Critical Mass
800-NEURO from Jagged Tooth Grin              does not trade
801-PAPER from Jagged Tooth Grin  receives 493-SPICK from Paul65             and sends to 465-CHANC from Patriachakai
802-SAIGO from Jagged Tooth Grin              does not trade
803-PROME from Jagged Tooth Grin              does not trade
804-MOUSE from Karlsen                        does not trade
805-SCYRD from batcut             receives $35.0 from Tyndal                 and sends to 601-CARCA from actionman
806-WORLD from Ozludo                         does not trade
807-VENIC from Ozludo                         does not trade
808-CONTA from Ozludo             receives 929-ANTLR from Tyndal             and sends to $50.0 from prd1982
809-GRAIL from Ozludo                         does not trade
810-HAPEN from Ozludo             receives $30.0 from intheclear             and sends to 645-BDUEL from thepackrat
811-EMPIR from Ozludo             receives 633-NUNNY from MrBaggy            and sends to 173-STCAR from Karlsen
812-STATI from Ozludo                         does not trade
813-BIBLI from ausminstrel                    does not trade
814-BOHNA from ausminstrel                    does not trade
815-TACTI from ausminstrel                    does not trade
816-EDTRI from ausminstrel        receives 919-BALDE from mr_lunch           and sends to 350-RFTGY from aaronseeber
817-ODINR from ausminstrel        receives 203-CCNOR from Scholle            and sends to 164-IHAVE from dlow
818-SHAZM from ausminstrel                    does not trade
819-TAECG from ausminstrel        receives 621-SWCCG from trif               and sends to 530-ZERTZ from tiggers
820-WONDA from ausminstrel        receives 641-AQUAR from Mark_Owen_Reich    and sends to 595-THUND from Damhsa_Roisin
821-ASTRA from ausminstrel        receives 604-YSPAH from Lucky Phil         and sends to 243-CCEUR from wilderness
822-CADDY from ausminstrel                    does not trade
823-CONST from ausminstrel        receives 047-SIDSX from red turtle         and sends to 219-PACKS from Scholle
824-COSMI from ausminstrel                    does not trade
825-DIPLO from ausminstrel                    does not trade
826-DLORD from ausminstrel                    does not trade
827-HOMES from ausminstrel        receives 320-MACHU from sbszine            and sends to 446-REEFE from Ozludo
828-LUNCH from ausminstrel        receives 858-ESSEN from Phil81             and sends to 965-MIDDQ from psmaylott
829-RISAD from ausminstrel        receives 321-HOUSE from sbszine            and sends to $15.0 from cyberkev63
830-TANNH from ausminstrel        receives 735-LARGE from snog               and sends to 240-PRAAA from Amnese
831-TROYE from ausminstrel        receives 767-ALHAM from batcut             and sends to 744-DOOMG from fFish
832-STCAT from ausminstrel        receives 963-BREAK from cyberkev63         and sends to 174-WASHI from wilderness
833-THOUG from ausminstrel                    does not trade
834-RUMPI from ausminstrel        receives 1014-CAVUM from nnf1              and sends to 839-MBROS from Amiguero
835-PATON from ausminstrel                    does not trade
836-DISGA from Amiguero           receives 899-RALLY from Chuie              and sends to 939-BTOWN from Tyndal
837-CARCC from Amiguero           receives 582-UNDER from Tyndal             and sends to 354-HERAZ from aaronseeber
838-MARIO from Amiguero           receives 930-MONKY from mr_lunch           and sends to 933-DUCKG from Tyndal
839-MBROS from Amiguero           receives 834-RUMPI from ausminstrel        and sends to 480-FILES from Aneirin
840-THREE from Amiguero                       does not trade
841-NOIRE from Amiguero                       does not trade
842-RFTGY from Alex Brown         receives 293-CCANC from Lucky Phil         and sends to $50.0 from Croup and Vandemar
844-BOHNA from TumbleSteak                    does not trade
845-TAILS from TumbleSteak        receives 103-SHOGN from some_guy           and sends to 433-MASON from intheclear
846-CASHS from TumbleSteak        receives 341-HORSE from Friendless         and sends to 024-SPACE from revgiblet
847-ARTIC from Karlsen                        does not trade
848-WOWDS from TumbleSteak        receives 326-MEMOR from Phil81             and sends to $30.0 from Alex Brown
849-CATAN from Karlsen                        does not trade
850-SIDSX from TumbleSteak                    does not trade
851-TIKAL from TumbleSteak                    does not trade
852-CREAT from TumbleSteak        receives 760-WAGER from Tezza              and sends to 558-FMINI from gmcnish
853-SWARS from TumbleSteak        receives 350-RFTGY from aaronseeber        and sends to $30.0 from red turtle
854-JTCOE from Phil81             receives 381-MAGIE from PBrennan           and sends to 536-MISSI from tiggers
855-YSTAR from Phil81             receives 880-UBONG from Neil Thomson       and sends to $45.0 from hxbx
856-DELTA from Phil81             receives 465-CHANC from Patriachakai       and sends to $18.0 from Lucky Phil
857-RAIDR from Phil81             receives 708-TENAM from grosse_au          and sends to 785-STACK from Karlsen
858-ESSEN from Phil81             receives 100-CIVIL from petegs             and sends to 828-LUNCH from ausminstrel
859-BEOMV from Phil81                         does not trade
860-BRIDG from Phil81                         does not trade
861-ULYSS from Phil81             receives $20.0 from cyberkev63             and sends to 126-GENJI from thepackrat
862-WACKY from Phil81                         does not trade
863-CARCD from Phil81                         does not trade
864-COURT from Neil Thomson       receives 785-STACK from Karlsen            and sends to 327-FUNNY from Phil81
865-HTMYF from Phil81             receives $15.0 from cyberkev63             and sends to 892-ILLUM from Kerbster76
866-SUSHI from Neil Thomson                   does not trade
867-RENOV from Neil Thomson                   does not trade
868-ILPRN from Phil81                         does not trade
869-POUTN from Neil Thomson       receives 941-INNFG from mr_lunch           and sends to 661-REDIN from rktboy
870-PROMO from Phil81             receives $15.0 from Moose_Head             and sends to 028-TIMBK from Unhalfbricking
871-ATHLE from Neil Thomson       receives 1010-DWEED from nnf1              and sends to 978-ODINS from cyberkev63
872-GEMLK from Neil Thomson                   does not trade
873-ALHCG from Neil Thomson                   does not trade
874-HURRY from Neil Thomson                   does not trade
875-LARGE from MrBaggy                        does not trade
876-DANCE from Neil Thomson                   does not trade
877-INKOG from Phil81                         does not trade
878-AIRSH from Neil Thomson                   does not trade
879-MOTGP from Neil Thomson                   does not trade
880-UBONG from Neil Thomson       receives 698-LEODV from Amnese             and sends to 855-YSTAR from Phil81
881-KIDCG from Phil81                         does not trade
882-PARAD from Phil81             receives $15.0 from Damhsa_Roisin          and sends to 754-SLEUT from fFish
883-NECRO from ludopoly                       does not trade
884-CELTI from Phil81             receives 752-CITAD from fFish              and sends to 414-LIBNT from PBrennan
885-KOSMS from Phil81             receives 992-RPGBD from Hida Mann          and sends to 125-JADEG from thepackrat
886-DUSTT from Karlsen                        does not trade
887-ARCHI from Karlsen                        does not trade
888-UPTWN from Phil81             receives $15.0 from cyberkev63             and sends to $20.0 from Ozludo
889-WLDLF from Phil81                         does not trade
890-REEFE from Phil81             receives 563-SHANG from gmcnish            and sends to 144-BOLID from ChrisPayne
891-CATSA from srand              receives 115-FEDCM from petegs             and sends to 418-GULOG from Oiler
892-ILLUM from Kerbster76         receives 865-HTMYF from Phil81             and sends to 058-DINOS from Hida Mann
894-LSAGA from gmcnish                        does not trade
895-COLDW from Phil81                         does not trade
896-NDAME from Phil81             receives 500-FLOOR from Friendless         and sends to 185-WAITA from Friendless
897-CLONE from gmcnish                        does not trade
898-CLIPS from Chuie                          does not trade
899-RALLY from Chuie              receives 191-BRIDG from Morka              and sends to 836-DISGA from Amiguero
900-HANSA from Chuie                          does not trade
901-BITSS from tiggers                        does not trade
902-KBURG from tiggers            receives 366-CHINA from da pyrate          and sends to 242-PHANT from wilderness
903-FORCE from tiggers                        does not trade
904-FORBI from Chuie                          does not trade
905-PRESI from Thiessi            receives $50.0 from randomninja            and sends to 258-SYLLA from TorbenVang
906-BLITZ from tiggers                        does not trade
907-CATAN from Thiessi                        does not trade
908-TWOTW from mr_lunch           receives 570-GHEOS from Tyndal             and sends to 533-GETBT from tiggers
909-HELLS from mr_lunch           receives 057-EDISN from Hida Mann          and sends to 120-BEOWF from petegs
910-HQAOH from mr_lunch                       does not trade
911-HERMA from jcbgg              receives 183-VENIC from junkmonsta         and sends to 348-ORIGO from aaronseeber
912-HQTKK from mr_lunch           receives 496-TIMBU from Friendless         and sends to 931-VAULT from Tyndal
913-HQRWL from mr_lunch           receives 1023-HEIML from nnf1              and sends to 570-GHEOS from Tyndal
914-FFOES from mr_lunch                       does not trade
915-TMAZE from mr_lunch                       does not trade
916-DLABY from mr_lunch                       does not trade
917-SNAKE from mr_lunch           receives 480-FILES from Aneirin            and sends to $10.0 from Lucky Phil
918-CLUES from mr_lunch                       does not trade
919-BALDE from mr_lunch           receives 943-REVIL from srand              and sends to 816-EDTRI from ausminstrel
920-FAMIL from jcbgg              receives 756-ARCAN from fFish              and sends to 121-CALIF from thepackrat
921-TOMBA from mr_lunch                       does not trade
922-SAMAR from sysyphus           receives 952-CABLE from intheclear         and sends to $45.0 from Ozludo
923-KILLA from mr_lunch                       does not trade
924-MAXIM from mr_lunch           receives 704-TAJMA from Amnese             and sends to $20.0 from cyberkev63
925-MAMMA from jcbgg                          does not trade
926-DMAST from mr_lunch                       does not trade
927-EVERT from sysyphus                       does not trade
928-FCORE from mr_lunch                       does not trade
929-ANTLR from Tyndal             receives 335-NEURO from randomninja        and sends to 808-CONTA from Ozludo
930-MONKY from mr_lunch           receives 197-DITDK from prd1982            and sends to 838-MARIO from Amiguero
931-VAULT from Tyndal             receives 912-HQTKK from mr_lunch           and sends to 230-WOWAG from petegs
932-BOMBY from batcut             receives $45.0 from hxbx                   and sends to 942-AMSTE from the_pirate
933-DUCKG from Tyndal             receives 838-MARIO from Amiguero           and sends to 361-TEAMM from damnyouhussies
934-ABOOK from mr_lunch                       does not trade
935-GTBIT from srand              receives 626-DAMAG from trif               and sends to 957-PROPH from psmaylott
936-CCARD from Tyndal                         does not trade
937-FWARS from mr_lunch                       does not trade
938-MAGNU from the_pirate                     does not trade
939-BTOWN from Tyndal             receives 836-DISGA from Amiguero           and sends to 943-REVIL from srand
940-WASTE from the_pirate                     does not trade
941-INNFG from mr_lunch           receives 615-ANIMA from trif               and sends to 869-POUTN from Neil Thomson
942-AMSTE from the_pirate         receives 932-BOMBY from batcut             and sends to 559-CHANG from gmcnish
943-REVIL from srand              receives 939-BTOWN from Tyndal             and sends to 919-BALDE from mr_lunch
944-ALADD from the_pirate                     does not trade
945-REEFE from the_pirate                     does not trade
946-SAMUR from the_pirate                     does not trade
947-BABEL from the_pirate                     does not trade
948-ARCAD from srand                          does not trade
949-MKDUN from Tyndal                         does not trade
950-AWAKE from srand                          does not trade
951-TANGL from mr_lunch                       does not trade
952-CABLE from intheclear         receives 521-NAMER from tiggers            and sends to 922-SAMAR from sysyphus
953-GROMT from intheclear                     does not trade
954-ATARI from mr_lunch           receives 488-TIKAL from anton70            and sends to 069-HEROM from Thiessi
955-SHADW from Tyndal                         does not trade
956-BALLC from cyberkev63         receives $30.0 from red turtle             and sends to 129-MIDKG from thepackrat
957-PROPH from psmaylott          receives 935-GTBIT from srand              and sends to $40.0 from Dr Corey
959-WARGM from psmaylott          receives 757-TBGGG from Tezza              and sends to 649-SHADO from zerogeek
960-FRASR from cyberkev63                     does not trade
962-BEANS from cyberkev63         receives $20.0 from Croup and Vandemar     and sends to 143-MMUSA from ChrisPayne
963-BREAK from cyberkev63         receives $20.0 from Phil81                 and sends to 832-STCAT from ausminstrel
964-BUFFY from cyberkev63                     does not trade
965-MIDDQ from psmaylott          receives 828-LUNCH from ausminstrel        and sends to 651-RUNEB from zerogeek
966-TTRCG from Scholle                        does not trade
968-DGOLD from cyberkev63                     does not trade
969-FFGBK from cyberkev63                     does not trade
970-ENDED from cyberkev63                     does not trade
971-FSALE from cyberkev63                     does not trade
972-FOWLP from cyberkev63                     does not trade
974-HINKP from cyberkev63                     does not trade
978-ODINS from cyberkev63         receives 871-ATHLE from Neil Thomson       and sends to 795-AUGSB from Karlsen
980-SHERL from cyberkev63                     does not trade
981-SPACE from cyberkev63                     does not trade
982-TTRCG from cyberkev63                     does not trade
983-TMOVE from cyberkev63                     does not trade
984-RUNEA from wilderness         receives $35.0 from kathyb                 and sends to $35.0 from Mark_Owen_Reich
987-RFTGY from wilderness         receives 790-TOUCH from Karlsen            and sends to 659-DCLEG from zerogeek
988-WORDO from cyberkev63         receives $20.0 from Moose_Head             and sends to 500-FLOOR from Friendless
989-AMBDL from ludopoly           receives 447-PROPH from Patriachakai       and sends to 135-TRANS from smittenkitten
990-MEDIC from ludopoly           receives 518-AQUAR from tiggers            and sends to 571-TERRA from Tyndal
991-CLUES from Hida Mann                      does not trade
992-RPGBD from Hida Mann          receives 345-ROBOT from Friendless         and sends to 885-KOSMS from Phil81
993-DLAND from Hida Mann                      does not trade
994-SWRPG from Hida Mann                      does not trade
995-GURPS from Hida Mann                      does not trade
996-SAVAG from Hida Mann                      does not trade
997-LOTFR from Hida Mann          receives 081-SHERW from Moose_Head         and sends to 621-SWCCG from trif
998-LOTFR from Hida Mann          receives 608-DARKE from Patriachakai       and sends to 615-ANIMA from trif
999-LUCKY from Friendless                     does not trade

Num trades  = 534 (471 games)
Num groups  = 5
Group sizes = 330 141 43 18 2
Sum squares = 130958
